Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2019,Honda WR-V i-DTEC VX,"59,537",Diesel,Manual,8.25,"Anna Nagar West Extension, Chennai"
2020,Kia Seltos HTK Plus D,"40,000",Diesel,Manual,12.95,"Anna Nagar, Chennai"
2017,Maruti Celerio ZXI Optional,"20,304",Petrol,Manual,4.35,"Anna Nagar, Chennai"
2023,Hyundai Verna SX IVT,"11,000",Petrol,Automatic,14.50,"Anna Nagar West Extension, Chennai"
2023,MG Astor Savvy CVT BSVI,"25,000",Petrol,Automatic,17.30,"Nandanam, Chennai"
2020,Honda Amaze VX CVT Petrol,"38,231",Petrol,Automatic,6.98,"Ganapathipuram, Chennai"
2019,Tata Nexon 1.2 Revotron XZ Plus,"43,000",Petrol,Manual,6.85,"Anna Nagar, Chennai"
2015,Hyundai Verna 1.6 VTVT S Option,"98,460",Petrol,Manual,5.29,"Thiruverkadu, Chennai"
2021,Renault Triber RXZ BSVI,"35,000",Petrol,Manual,6.50,"Anna Nagar, Chennai"
2020,Kia Seltos HTX IVT G,"38,000",Petrol,Automatic,12.90,"Medavakkam, Chennai"
2019,Hyundai Venue S Turbo BSIV,"32,000",Petrol,Manual,8,"Anna Nagar, Chennai"
2021,Renault Triber RXZ,"32,803",Petrol,Manual,6.10,"Ganapathipuram, Chennai"
2015,Honda Amaze SX i VTEC,"77,060",Petrol,Manual,4.50,"Anna Nagar, Chennai"
2024,Maruti Swift LXI,"12,000",Petrol,Manual,6.90,"Medavakkam, Chennai"
2020,Maruti Swift VXI,"58,304",Petrol,Manual,6,"Anna Nagar, Chennai"
2021,Hyundai i20 Asta IVT,"20,000",Petrol,Automatic,8.60,"Thygaraya Nagar, Chennai"
2022,Maruti Swift ZXI Plus,"25,236",Petrol,Manual,6.92,"Vadapalani, Chennai"
2022,Mahindra XUV300 W8 Diesel Sunroof BSVI,"49,338",Diesel,Manual,10.24,"Vadapalani, Chennai"
2022,MG Astor Sharp BSVI,"23,679",Petrol,Manual,15.25,"Nandanam, Chennai"
2021,Maruti Celerio ZXI AMT,"23,304",Petrol,Automatic,5.58,"Ganapathipuram, Chennai"
2021,Nissan Magnite Turbo CVT XL BSVI,"31,126",Petrol,Automatic,6.89,"Ganapathipuram, Chennai"
2022,Mercedes-Benz GLA AMG 35 4M,"9,000",Petrol,Automatic,50,"Thygaraya Nagar, Chennai"
2019,Hyundai Venue S Turbo BSIV,"32,000",Petrol,Manual,8.25,"Medavakkam, Chennai"
2023,Toyota Innova Hycross VX(O) 7STR Hybrid,"16,000",Petrol,Automatic,32.50,"Thygaraya Nagar, Chennai"
2020,Renault KWID Climber 1.0 AMT Opt,"56,158",Petrol,Automatic,3.99,"Ganapathipuram, Chennai"
2023,Toyota Innova Crysta 2.4 Zx 7Str,"15,000",Diesel,Manual,27.50,"Thygaraya Nagar, Chennai"
2021,Kia Seltos HTX G,"20,000",Petrol,Manual,13.50,"Thygaraya Nagar, Chennai"
2021,MG Astor Savvy CVT BSVI,"20,000",Petrol,Automatic,16.26,"Nandanam, Chennai"
2017,Hyundai Verna 1.4 VTVT,"92,242",Petrol,Manual,5.75,"Porur, Chennai"
2013,Maruti Swift VXI,"51,907",Petrol,Manual,3.85,"Ganapathipuram, Chennai"
2012,Hyundai i10 Asta 1.2,"69,732",Petrol,Manual,3.50,"Anna Nagar, Chennai"
2022,Kia Seltos HTK Plus G,"35,000",Petrol,Manual,15.25,"Anna Nagar, Chennai"
2022,Maruti Swift Dzire VXI,"45,000",Petrol,Manual,6.49,"Koyambedu, Chennai"
2022,Maruti Ignis Zeta BSVI,"37,477",Petrol,Manual,5.32,"Vadapalani, Chennai"
2023,MG Astor Sharp CVT BSVI,"15,000",Petrol,Automatic,14.75,"Thygaraya Nagar, Chennai"
2023,Maruti Swift VXI,"8,000",Petrol,Manual,7.95,"Anna Nagar, Chennai"
2018,Maruti Celerio X VXI BSIV,"53,000",Petrol,Manual,3.90,"Medavakkam, Chennai"
2019,Hyundai Creta 1.6 SX Automatic,"62,000",Petrol,Automatic,10.25,"Anna Nagar West Extension, Chennai"
2021,Hyundai Venue SX Opt iMT,"8,998",Petrol,Manual,8.22,"Ganapathipuram, Chennai"
2016,Honda Jazz 1.2 V AT i VTEC,"77,849",Petrol,Automatic,5.09,"Thiruverkadu, Chennai"
2021,Renault Kiger RXZ,"34,457",Petrol,Manual,6.80,"Anna Nagar, Chennai"
2014,Honda City i VTEC SV,"82,410",Petrol,Manual,4.47,"Vadapalani, Chennai"
2019,Hyundai Venue SX Plus Turbo DCT BSIV,"69,000",Petrol,Automatic,8.50,"Anna Nagar West Extension, Chennai"
2018,Hyundai Grand i10 1.2 Kappa Sportz Option AT,"18,013",Petrol,Automatic,5.31,"Thiruverkadu, Chennai"
2019,Hyundai i20 Sportz Plus BSIV,"35,381",Petrol,Manual,6.45,"Anna Nagar, Chennai"
2017,Honda Jazz 1.2 V AT i VTEC,"56,990",Petrol,Automatic,4.87,"Thiruverkadu, Chennai"
2020,Tata Nexon 1.2 Revotron XZ Plus,"51,275",Petrol,Manual,7.09,"Ganapathipuram, Chennai"
2017,Honda City ZX CVT,"41,034",Petrol,Automatic,8.25,"Thygaraya Nagar, Chennai"
2023,Mercedes-Benz GLS 400d 4MATIC,"15,000",Diesel,Automatic,1.20 Crore,"Medavakkam, Chennai"
2023,MG Hector Sharp Pro Diesel,"30,707",Diesel,Manual,24,"Nandanam, Chennai"
2022,Volkswagen Taigun 1.0 TSI Topline AT BSVI,"13,000",Petrol,Automatic,15.50,"Thygaraya Nagar, Chennai"
2018,Maruti Celerio X ZXI Option BSIV,"44,876",Petrol,Manual,4.07,"Thiruverkadu, Chennai"
2023,MG Hector Sharp Pro,"6,100",Petrol,Manual,22.36,"Nandanam, Chennai"
2020,Maruti Ignis 1.2 AMT Alpha BSIV,"77,077",Petrol,Automatic,5.40,"Ganapathipuram, Chennai"
2020,Maruti Baleno Delta,"40,000",Petrol,Manual,6.60,"Anna Nagar, Chennai"
2017,Maruti Baleno 1.2 CVT Zeta,"85,876",Petrol,Automatic,5.28,"Vadapalani, Chennai"
2022,Maruti Ignis Sigma BSVI,"33,821",Petrol,Manual,5.14,"Ganapathipuram, Chennai"
2019,Maruti Wagon R ZXI 1.2,"47,007",Petrol,Manual,5,"Anna Nagar, Chennai"
2015,Hyundai i20 Asta 1.2,"78,421",Petrol,Manual,4.81,"Ganapathipuram, Chennai"
2018,Maruti Swift Dzire LXI 1.2 BS IV,"39,000",Petrol,Manual,5.30,"Chromepet, Chennai"
2022,Hyundai Venue SX Turbo Executive,"68,161",Diesel,Manual,9.49,"Ganapathipuram, Chennai"
2014,Hyundai Grand i10 Sportz,"60,299",Petrol,Manual,3.41,"Ganapathipuram, Chennai"
2021,Maruti S-Presso VXI Plus 2019-2022,"10,904",Petrol,Manual,4.07,"Vadapalani, Chennai"
2022,BMW X5 xDrive 40i M Sport,"16,500",Petrol,Automatic,84,"Thygaraya Nagar, Chennai"
2019,Maruti S Cross Delta DDiS 200 SH,"60,000",Diesel,Manual,7.95,"Anna Nagar, Chennai"
2019,Hyundai Santro Asta BSIV,"58,314",Petrol,Manual,4.25,"Vadapalani, Chennai"
2021,Renault Triber RXZ,"33,773",Petrol,Manual,6.18,"Thiruverkadu, Chennai"
2012,Volkswagen Polo Petrol Comfortline 1.2L,"71,000",Petrol,Manual,3.60,"Chromepet, Chennai"
2022,Maruti Ignis Zeta BSVI,"52,000",Petrol,Manual,5.45,"Koyambedu, Chennai"
2020,Honda City V MT,"37,000",Petrol,Manual,7.25,"Velacheri, Chennai"
2020,Hyundai Venue SX Plus Turbo DCT BSIV,"73,113",Petrol,Automatic,7.68,"Vadapalani, Chennai"
2020,Hyundai Creta 1.6 VTVT S,"25,000",Petrol,Manual,11.50,"Thygaraya Nagar, Chennai"
2022,MG Hector Sharp Diesel MT,"18,000",Diesel,Manual,16.50,"Thygaraya Nagar, Chennai"
2021,Maruti XL6 Zeta,"18,000",Petrol,Manual,11.75,"Medavakkam, Chennai"
2015,Maruti Swift VXI,"60,000",Petrol,Manual,4.80,"Koyambedu, Chennai"
2023,MG Astor Savvy CVT BSVI,"3,000",Petrol,Automatic,16.25,"Thygaraya Nagar, Chennai"
2017,Honda City ZX CVT,"60,134",Petrol,Automatic,8.90,"Chromepet, Chennai"
2016,Hyundai Creta 1.6 SX Automatic,"42,000",Petrol,Automatic,8.70,"Thygaraya Nagar, Chennai"
2017,Hyundai Grand i10 1.2 Kappa Sportz Option AT,"18,000",Petrol,Automatic,5.40,"Thygaraya Nagar, Chennai"
2021,Tata Tigor XZ Plus BSVI,"42,931",Petrol,Manual,5.80,"Thiruverkadu, Chennai"
2023,Renault KWID 1.0 RXT AMT,"26,189",Petrol,Automatic,5.20,"Ganapathipuram, Chennai"
2016,Maruti Ertiga BSIV ZXI Plus,"56,013",Petrol,Manual,8.03,"Vadapalani, Chennai"
2019,Hyundai Verna VTVT 1.6 AT SX Option,"22,000",Petrol,Automatic,9.75,"Thygaraya Nagar, Chennai"
2020,Honda City V CVT,"50,155",Petrol,Automatic,10.35,"Meenambakkam, Chennai"
2020,Hyundai Venue SX Turbo BSIV,"54,863",Petrol,Manual,7.15,"Thiruverkadu, Chennai"
2018,Maruti Ciaz 1.4 AT Alpha,"43,000",Petrol,Automatic,7.15,"Anna Nagar, Chennai"
2018,Maruti Baleno 1.2 CVT Delta,"73,369",Petrol,Automatic,5.06,"Thiruverkadu, Chennai"
2021,Skoda Kushaq 1.0 TSI Style 4 Airbags AT,"27,000",Petrol,Automatic,15.95,"West Saidapet, Chennai"
2017,Hyundai i20 Sportz 1.2,"65,298",Petrol,Manual,5.50,"Thygaraya Nagar, Chennai"
