Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2018,Mahindra Ssangyong Rexton RX6,"84,000",Diesel,Manual,11.65,"R T Nagar, Bangalore"
2021,Mercedes-Benz A-Class Limousine A 200 BSVI,"6,000",Petrol,Automatic,48.95,"Indiranagar, Bangalore"
2017,Honda Jazz 1.2 V AT i VTEC,"45,000",Petrol,Automatic,6.30,"Maruthi Nagar, Bangalore"
2018,Maruti Baleno 1.3 Zeta,"57,000",Diesel,Manual,7.75,"Maruthi Nagar, Bangalore"
2017,Honda Jazz 1.2 V AT i VTEC,"61,000",Petrol,Automatic,6.25,"JP Nagar III Phase, Bangalore"
2021,Mercedes-Benz A-Class Limousine A 200 BSVI,"13,700",Petrol,Automatic,35,"Indiranagar, Bangalore"
2016,Skoda Rapid 1.6 MPI Ambition,"1,55,000",Petrol,Manual,5.95,"Gottigere, Bangalore"
2014,Mahindra Ssangyong Rexton RX7,"1,22,000",Diesel,Automatic,6.50,"City, Bangalore"
2016,Maruti Baleno Zeta,"31,605",Petrol,Manual,6.25,"Kanakanagar, Bangalore"
2017,Renault Duster 1.5 Petrol RXL,"82,000",Petrol,Manual,5.95,"City, Bangalore"
2016,Volkswagen CrossPolo 1.2 MPI,"85,250",Petrol,Manual,5.35,"R T Nagar, Bangalore"
2019,Honda City i-DTEC VX,"24,949",Diesel,Manual,9.41,"Yeshwanthpur Bazar, Bangalore"
2015,Maruti Swift VDI BSIV,"1,17,000",Diesel,Manual,5.65,"R T Nagar, Bangalore"
2018,Skoda Rapid 1.5 TDI Ambition BSIV,"71,000",Diesel,Manual,6.75,"Adugodi, Bangalore"
2016,Hyundai i20 Asta Option 1.2,"61,000",Petrol,Manual,5.48,"Neriga, Bangalore"
2017,Maruti S Cross DDiS 200 Zeta,"1,15,263",Diesel,Manual,6.75,"Marathahalli Colony, Bangalore"
2012,Hyundai Sonata 2.4 GDi MT,"87,000",Petrol,Manual,6.50,"Maruthi Nagar, Bangalore"
2014,Mahindra Xylo H8,"75,000",Diesel,Manual,5.85,"City, Bangalore"
2013,Skoda Rapid 1.6 MPI AT Ambition,"87,705",Petrol,Automatic,5.30,"Doorvaninagar, Bangalore"
2015,Skoda Rapid 1.5 TDI Elegance Plus,"85,000",Diesel,Manual,5.65,"Banashankari Iii Stage, Bangalore"
2023,Jeep Compass 2.0 Model S Opt 4x4 AT,"18,200",Diesel,Automatic,31.95,"Adugodi, Bangalore"
2024,Toyota Fortuner 4X2 Diesel,"23,000",Diesel,Manual,38.50,"Indiranagar, Bangalore"
2023,Maruti Celerio ZXI,"23,323",Petrol,Manual,5.54,"Yeshwanthpur Bazar, Bangalore"
2020,Renault Triber RXL BSIV,"8,829",Petrol,Manual,5.99,"Bellandur, Bangalore"
2021,Kia Seltos HTK G,"43,640",Petrol,Manual,9.38,"BTM Layout, Bangalore"
2024,Kia Seltos GTX Plus Turbo DCT,"8,300",Petrol,Automatic,20.65,"Adugodi, Bangalore"
2016,Hyundai Grand i10 Asta Option,"55,000",Petrol,Manual,5.40,"City, Bangalore"
2019,Hyundai Grand i10 1.2 Kappa Magna BSIV,"26,640",Petrol,Manual,5.58,"BTM Layout, Bangalore"
2013,Nissan Sunny XV,"1,05,000",Petrol,Manual,3.75,"Gottigere, Bangalore"
2023,MG Astor Super CVT,"20,000",Petrol,Automatic,11.45,Bangalore
2016,Hyundai Grand i10 Asta,"79,900",Petrol,Manual,5.25,"Doddakallasandra, Bangalore"
2022,Maruti S-Presso VXI CNG,"21,419",CNG,Manual,5.12,"Malleswaram, Bangalore"
2022,Kia Seltos GTX Plus Diesel AT,"68,000",Diesel,Automatic,16,"Adugodi, Bangalore"
2019,Honda Amaze V CVT Petrol BSIV,"90,000",Petrol,Automatic,5.50,Bangalore
2018,Hyundai Creta 1.6 SX Option,"26,000",Petrol,Manual,9.90,"Bazaar, Bangalore"
2010,Skoda Laura 1.8 TSI Ambiente,"1,04,946",Petrol,Manual,4.95,"City, Bangalore"
2015,Hyundai i10 Sportz 1.1L,"67,072",Petrol,Manual,3.20,"Magadi Road, Bangalore"
2023,Tata Tiago EV XT MR,"10,000",Electric,Automatic,7.30,Bangalore
2016,Honda City i VTEC CVT VX,"72,000",Petrol,Automatic,6.60,"Bazaar, Bangalore"
2018,Renault KWID 1.0 RXT,"20,240",Petrol,Manual,3.79,"Hoodi, Bangalore"
2020,Kia Seltos HTK Plus G,"35,639",Petrol,Manual,10.47,"Yelahanka, Bangalore"
