Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2019,Maruti Dzire VXI,"51,004",Petrol,Manual,5.69,"Gota, Ahmedabad"
2012,Honda Brio S MT,"46,702",Petrol,Manual,2.83,"Gota, Ahmedabad"
2012,Honda Brio S MT,"43,753",Petrol,Manual,2.87,"Gota, Ahmedabad"
2021,Skoda Kushaq 1.0 TSI Style,"80,446",Petrol,Manual,10.51,"Gota, Ahmedabad"
2017,Hyundai i20 1.2 Asta Option,"86,446",Petrol,Manual,5.39,"Mumatpura, Ahmedabad"
2017,Hyundai i20 Active 1.2 SX,"45,200",Petrol,Manual,5.45,"Naranpura, Ahmedabad"
2016,Tata Zest Revotron 1.2T XM,"94,000",Petrol,Manual,3.75,"Makarba, Ahmedabad"
2012,Nissan Sunny XL,"69,787",Petrol,Manual,3,"Gota, Ahmedabad"
2015,Hyundai Grand i10 Sportz,"92,394",Petrol,Manual,3.91,"Mumatpura, Ahmedabad"
2015,Honda Amaze S i-Vtech,"83,221",Petrol,Manual,3.92,"Mumatpura, Ahmedabad"
2017,Maruti Ciaz Petrol,"84,306",Diesel,Manual,5.15,"Gota, Ahmedabad"
2015,Hyundai Grand i10 Sportz,"64,544",Petrol,Manual,3.81,"Mumatpura, Ahmedabad"
2014,Tata Zest Quadrajet 1.3 XMA,"1,14,000",Diesel,Automatic,2.15,"Sahil Residency, Ahmedabad"
2020,Maruti Swift VXI,"32,287",Petrol,Manual,5.57,"Gota, Ahmedabad"
2022,Maruti Alto 800 LXi,"9,753",Petrol,Manual,3.73,"Gota, Ahmedabad"
2016,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"31,549",Petrol,Manual,4.01,"Gota, Ahmedabad"
2017,Hyundai Xcent 1.2 VTVT S,"33,000",Petrol,Manual,4.75,"Makarba, Ahmedabad"
2014,Hyundai i10 Sportz 1.1L,"68,000",Petrol,Manual,3.50,"Naranpura, Ahmedabad"
2020,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"30,231",Petrol,Manual,5.81,"Gota, Ahmedabad"
2019,Maruti Ciaz Petrol,"91,832",Diesel,Manual,6.39,"Gota, Ahmedabad"
2020,Tata Altroz XZ,"69,649",Petrol,Manual,5.69,"Gota, Ahmedabad"
2017,Maruti Dzire ZXI Plus,"96,374",Petrol,Manual,5.34,"Gota, Ahmedabad"
2019,Hyundai Santro Sportz,"28,402",Petrol,Manual,4.52,"Gota, Ahmedabad"
2023,Hyundai Verna SX Turbo DCT,"13,358",Petrol,Automatic,14.88,"Gota, Ahmedabad"
2021,Maruti Celerio ZXI Plus,"33,375",Petrol,Manual,5.07,"Gota, Ahmedabad"
2021,Toyota Innova Crysta 2.4 G 7 STR,"67,000",Diesel,Manual,19.90,"Makarba, Ahmedabad"
2015,Hyundai i20 Asta 1.2,"91,590",Petrol,Manual,3.70,"Mumatpura, Ahmedabad"
2019,Honda Amaze S Petrol BSIV,"27,000",Petrol,Manual,6.25,"Makarba, Ahmedabad"
2016,Honda City i VTEC SV,"57,000",Petrol,Manual,5.65,"Naranpura, Ahmedabad"
2022,Hyundai i20 Asta Opt BSVI,"6,392",Petrol,Manual,8.10,"Naroda, Ahmedabad"
2020,Maruti Ciaz Alpha BSVI,"88,000",Petrol,Manual,7.25,"Makarba, Ahmedabad"
2022,Maruti Ignis Sigma,"24,422",Petrol,Manual,4.81,"Gota, Ahmedabad"
2020,Skoda Superb Petrol Ambition,"65,506",Petrol,Manual,7.08,"Gota, Ahmedabad"
2020,Ford Freestyle Titanium,"1,11,765",Petrol,Manual,4.87,"Gota, Ahmedabad"
2013,Honda Amaze S i-Vtech,"94,000",Petrol,Manual,3.40,"Makarba, Ahmedabad"
2021,Hyundai Santro Sportz,"31,156",Petrol,Manual,4.74,"Gota, Ahmedabad"
2017,Maruti Celerio ZXI,"72,408",Petrol,Manual,3.87,"Gota, Ahmedabad"
2015,Maruti Wagon R VXI BS IV,"68,000",Petrol,Manual,3.15,"Ramdev Nagar, Ahmedabad"
2017,Maruti Ciaz Petrol,"1,03,746",Diesel,Manual,5.15,"Gota, Ahmedabad"
2015,Hyundai Grand i10 1.2 Kappa Asta,"1,07,764",Petrol,Manual,3.78,"Gota, Ahmedabad"
2020,Hyundai i20 Sportz Plus,"59,570",Petrol,Manual,6.06,"Mumatpura, Ahmedabad"
2015,Honda Amaze VX i-Vtech,"86,000",Petrol,Manual,3.25,"Sahil Residency, Ahmedabad"
2018,Hyundai Grand i10 1.2 Kappa Magna BSIV,"44,129",Petrol,Manual,3.57,"Mumatpura, Ahmedabad"
2022,Tata Altroz XZA DCT BSVI,"28,894",Petrol,Automatic,6.74,"Naroda, Ahmedabad"
2023,Maruti Swift VXI CNG,"4,40,000",CNG,Manual,7.21,"Alampur, Ahmedabad"
2017,Maruti Baleno Zeta Diesel,"1,05,518",Diesel,Manual,4.63,"Gota, Ahmedabad"
2021,Hyundai Venue SX Turbo,"32,817",Petrol,Manual,8.42,"Gota, Ahmedabad"
2016,Volkswagen Vento Diesel Comfortline,"93,092",Diesel,Manual,5.28,"Gota, Ahmedabad"
2019,Maruti Alto K10 VXI,"24,504",Petrol,Manual,3.59,"Gota, Ahmedabad"
2017,Maruti Swift Dzire Tour LDI,"1,72,000",Diesel,Manual,2.75,"Sahil Residency, Ahmedabad"
2022,Tata Tiago 1.2 Revotron XZ Plus,"40,935",Petrol,Manual,6.49,"Gota, Ahmedabad"
2020,Hyundai Santro Sportz,"67,300",Petrol,Manual,4.14,"Gota, Ahmedabad"
2019,Hyundai i20 Magna Plus BSIV,"70,100",Petrol,Manual,6.25,"Ctm Char Rasta, Ahmedabad"
2019,Renault KWID Climber 1.0 MT,"79,145",Petrol,Manual,3.05,"Gota, Ahmedabad"
2019,Hyundai i20 Asta 1.2,"21,336",Petrol,Manual,6.91,"Gota, Ahmedabad"
2017,Honda Amaze VX CVT i-VTEC,"45,000",Petrol,Automatic,4.95,"Makarba, Ahmedabad"
2016,Honda Jazz 1.2 V i VTEC,"65,000",Petrol,Manual,4.30,"Ghodasar, Ahmedabad"
2019,Maruti Ciaz Delta BSIV,"71,648",Petrol,Manual,5.90,"Naroda, Ahmedabad"
2011,Maruti Wagon R LXI,"47,967",Petrol,Manual,2.39,"Gota, Ahmedabad"
2013,Honda Brio S MT,"58,000",Petrol,Manual,3.25,"Ghodasar, Ahmedabad"
2016,Honda Amaze VX i-Vtech,"90,925",Petrol,Manual,4.51,"Mumatpura, Ahmedabad"
2015,Nissan Micra XL,"64,000",Petrol,Manual,3.75,"Naranpura, Ahmedabad"
2015,Hyundai Grand i10 Magna,"55,000",Petrol,Manual,4,"Ramdev Nagar, Ahmedabad"
2017,Maruti Baleno 1.2 Alpha,"78,000",Petrol,Manual,5.95,"Naranpura Vistar, Ahmedabad"
