Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2015,Nissan Micra Active XL Petrol,"38,000",Petrol,Manual,2.75,"Thurbe, Navi Mumbai"
2024,Maruti Dzire ZXI,"4,000",Petrol,Manual,7.80,"Vadpe, Thane"
2016,Hyundai Grand i10 Asta Option,"58,545",Petrol,Manual,3.99,"Kandivali East, Mumbai"
2018,Mercedes-Benz GLC Progressive 220d,"43,000",Diesel,Automatic,36.99,"Borivali West, Mumbai"
2022,Mahindra Thar LX 4WD Hard Top Diesel AT BSVI,"42,387",Diesel,Automatic,14.99,"West, Thane"
2019,Hyundai Venue SX Plus Turbo DCT BSIV,"64,000",Petrol,Automatic,8.60,"Antop Hill, Mumbai"
2022,Maruti Ignis Delta BSVI,"34,182",Petrol,Manual,5.75,"Prabhadevi, Mumbai"
2022,BMW 6 Series GT 630d M Sport,"31,700",Diesel,Automatic,59.90,"Vileparle(west) S.o, Mumbai"
2022,Skoda Kushaq 1.5 TSI Style DSG,"16,000",Petrol,Automatic,16.45,"Goregaon (w), Mumbai"
2017,Jaguar XE 2.0L Diesel Prestige,"35,000",Diesel,Automatic,19.25,"Khar (w), Mumbai"
2019,Honda Amaze V Petrol BSIV,"16,000",Petrol,Manual,5.95,"Jogeshwari West, Mumbai"
2018,Audi A4 35 TDI Technology,"65,100",Diesel,Automatic,22,"Vileparle(west) S.o, Mumbai"
2017,Jaguar XE 2.0L Diesel Prestige,"35,000",Diesel,Automatic,19.25,"Andheri East, Mumbai"
2014,Skoda Rapid 1.5 TDI Ambition Plus,"86,000",Diesel,Manual,4.75,"Kapad Bazar, Mumbai"
2016,Hyundai Elantra SX,"44,000",Petrol,Manual,6.90,"Andheri East, Mumbai"
2017,Skoda Superb Style 1.8 TSI AT,"67,000",Petrol,Automatic,13.75,"Borivali West, Mumbai"
2023,Land Rover Range Rover Velar P250 R-Dynamic HSE,"6,800",Petrol,Automatic,82,"Goregaon West, Mumbai"
2009,BMW 5 Series 525i,"62,000",Petrol,Automatic,5.49,"Andheri, Mumbai"
2015,Mahindra XUV500 R W10 FWD,"83,900",Diesel,Manual,7.75,"Andheri East, Mumbai"
2015,Honda City i VTEC CVT VX,"46,500",Petrol,Automatic,6.25,"Vileparle(west) S.o, Mumbai"
2019,Mahindra XUV500 W9 2WD,"51,729",Diesel,Manual,9.95,"Borivali West, Mumbai"
2021,Maruti Swift Dzire VXI BSVI,"14,801",Petrol,Manual,6.34,"Mulund West, Mumbai"
2018,Hyundai Grand i10 1.2 Kappa Sportz Option AT,"58,045",Petrol,Automatic,4.89,"West, Thane"
2018,Honda Amaze V CVT Petrol BSIV,"53,000",Petrol,Automatic,6.45,"Antop Hill, Mumbai"
2021,Maruti Baleno Alpha,"19,500",Petrol,Manual,7.95,"Santacruz(west) S.o, Mumbai"
